fecha,la_rioja_region,ocupado,pob_tot,tasa_empleo
2007-Q1,1. Resto país,9213718,21801989,42.26090564489323
2007-Q1,2. NOA-Resto,769065,2127635,36.14647249175728
2007-Q1,3. La Rioja,69148,168426,41.05541899706696
2007-Q2,1. Resto país,9399877,21851182,43.01770494612145
2007-Q2,2. NOA-Resto,793441,2135681,37.15166263126375
2007-Q2,3. La Rioja,68095,169347,40.21033735466232
2007-Q4,1. Resto país,9342003,21952013,42.5564753446529
2007-Q4,2. NOA-Resto,815036,2151423,37.88357752055268
2007-Q4,3. La Rioja,70007,171360,40.853758169934636
2008-Q1,1. Resto país,9335848,22002808,42.43025708355043
2008-Q1,2. NOA-Resto,800644,2159185,37.08084300326281
2008-Q1,3. La Rioja,70377,172435,40.81363992228956
2008-Q2,1. Resto país,9368982,22051592,42.48664676908588
2008-Q2,2. NOA-Resto,838800,2166973,38.7083733853629
2008-Q2,3. La Rioja,74172,173408,42.77311312050194
2008-Q3,1. Resto país,9352727,22102006,42.3161906661323
2008-Q3,2. NOA-Resto,837824,2174891,38.52257423475475
2008-Q3,3. La Rioja,71333,174434,40.89397709162205
2008-Q4,1. Resto país,9565057,22152776,43.177690236203354
2008-Q4,2. NOA-Resto,842436,2182667,38.596634301063794
2008-Q4,3. La Rioja,69611,175455,39.674560428599925
2009-Q1,1. Resto país,9553802,22202767,43.02978092775553
2009-Q1,2. NOA-Resto,839291,2190727,38.311072077899254
2009-Q1,3. La Rioja,69439,176427,39.35848821325534
2009-Q2,1. Resto país,9490145,22252022,42.648461339827904
2009-Q2,2. NOA-Resto,838166,2198325,38.1274834248803
2009-Q2,3. La Rioja,69278,177425,39.04635761589404
2009-Q3,1. Resto país,9424762,22301851,42.25999895703724
2009-Q3,2. NOA-Resto,842496,2206238,38.18699523804776
2009-Q3,3. La Rioja,70622,178464,39.57212659135736
2009-Q4,1. Resto país,9549165,22351840,42.7220533074682
2009-Q4,2. NOA-Resto,868568,2214039,39.23002259671126
2009-Q4,3. La Rioja,73112,179463,40.73931673938361
2010-Q1,1. Resto país,9544129,22401549,42.604772553897945
2010-Q1,2. NOA-Resto,853581,2221839,38.41777014446141
2010-Q1,3. La Rioja,69224,180367,38.37952618827169
2010-Q2,1. Resto país,9595115,22449473,42.740936502161986
2010-Q2,2. NOA-Resto,879720,2229391,39.460103678538225
2010-Q2,3. La Rioja,69173,181414,38.12991279614583
2010-Q3,1. Resto país,9633934,22499498,42.81843977141179
2010-Q3,2. NOA-Resto,876162,2237145,39.16429198822606
2010-Q3,3. La Rioja,73507,182441,40.290833748992824
2010-Q4,1. Resto país,9641933,22548893,42.760116871369256
2010-Q4,2. NOA-Resto,877667,2244864,39.09666688048809
2010-Q4,3. La Rioja,73112,183413,39.861950897700815
2011-Q1,1. Resto país,9641638,22598176,42.665558494632485
2011-Q1,2. NOA-Resto,880296,2252572,39.079594348149584
2011-Q1,3. La Rioja,73772,184453,39.99501227955089
2011-Q2,1. Resto país,9853822,22646275,43.51188882056762
2011-Q2,2. NOA-Resto,892869,2260163,39.50462864846473
2011-Q2,3. La Rioja,76764,185395,41.40564740149411
2011-Q3,1. Resto país,9887642,22695413,43.566697816867226
2011-Q3,2. NOA-Resto,917595,2267953,40.459171772960026
2011-Q3,3. La Rioja,77198,186424,41.409904304166844
2011-Q4,1. Resto país,9839233,22744827,43.259212303527306
2011-Q4,2. NOA-Resto,907673,2275438,39.89003435822026
2011-Q4,3. La Rioja,75566,187377,40.32832204592879
2012-Q1,1. Resto país,9694003,22793966,42.52881223039466
2012-Q1,2. NOA-Resto,895305,2283400,39.20929315932381
2012-Q1,3. La Rioja,74865,188406,39.73599566892774
2012-Q2,1. Resto país,9853169,22841683,43.1367907522401
2012-Q2,2. NOA-Resto,901209,2290959,39.337631096846344
2012-Q2,3. La Rioja,77707,189360,41.03664976763836
2012-Q3,1. Resto país,9981277,22890925,43.60364205465703
2012-Q3,2. NOA-Resto,925839,2298542,40.279403204292116
2012-Q3,3. La Rioja,75793,190354,39.81686752051441
2012-Q4,1. Resto país,9967444,22939532,43.450947473557875
2012-Q4,2. NOA-Resto,917358,2306211,39.777713314176374
2012-Q4,3. La Rioja,74074,191269,38.727655814585745
2013-Q1,1. Resto país,9750669,22988498,42.41542444399804
2013-Q1,2. NOA-Resto,923205,2313913,39.89799962228485
2013-Q1,3. La Rioja,74065,192308,38.513738378018594
2013-Q2,1. Resto país,9960789,23035776,43.240518574238614
2013-Q2,2. NOA-Resto,948651,2321263,40.867880976864754
2013-Q2,3. La Rioja,75867,193233,39.261927310552544
2013-Q3,1. Resto país,9940603,23084476,43.061852476096924
2013-Q3,2. NOA-Resto,962358,2328944,41.32164620531881
2013-Q3,3. La Rioja,75335,194281,38.77630854278082
2013-Q4,1. Resto país,10086210,23499293,42.92133384608635
2013-Q4,2. NOA-Resto,948739,2367473,40.073910029808154
2013-Q4,3. La Rioja,75690,196105,38.59667015119451
2014-Q1,1. Resto país,9980278,23738822,42.042010340698454
2014-Q1,2. NOA-Resto,929715,2390613,38.89023442941204
2014-Q1,3. La Rioja,78320,197556,39.64445524307032
2014-Q2,1. Resto país,9952876,23981363,41.50254512222679
2014-Q2,2. NOA-Resto,960199,2413176,39.789845415336465
2014-Q2,3. La Rioja,80562,199026,40.478128485725485
2014-Q3,1. Resto país,9935562,24039198,41.33067168047786
2014-Q3,2. NOA-Resto,982902,2420645,40.604962726876515
2014-Q3,3. La Rioja,83456,199929,41.74281870063873
2014-Q4,1. Resto país,10183217,24096424,42.26028310258817
2014-Q4,2. NOA-Resto,969023,2427763,39.91423380288768
2014-Q4,3. La Rioja,83735,200933,41.673095011770094
2015-Q1,1. Resto país,10018689,24150002,41.48525122275352
2015-Q1,2. NOA-Resto,971993,2434687,39.922708750652546
2015-Q1,3. La Rioja,79303,201847,39.2886691404876
2015-Q2,1. Resto país,10086750,24203885,41.67409488187537
2015-Q2,2. NOA-Resto,971725,2441475,39.80073521129645
2015-Q2,3. La Rioja,78244,202781,38.58546905282053
2016-Q2,1. Resto país,10306816,24595514,41.90526776549577
2016-Q2,2. NOA-Resto,950520,2403859,39.541420690647826
2016-Q2,3. La Rioja,80353,201357,39.90573955710504
2016-Q3,1. Resto país,10442164,24660532,42.343628272090804
2016-Q3,2. NOA-Resto,953462,2409690,39.567828226867356
2016-Q3,3. La Rioja,81371,202181,40.24661071020521
2016-Q4,1. Resto país,10424760,24725860,42.161364660319194
2016-Q4,2. NOA-Resto,954607,2415832,39.51462684491306
2016-Q4,3. La Rioja,79883,203138,39.32449861670392
2017-Q1,1. Resto país,10283656,24790882,41.48160601950346
2017-Q1,2. NOA-Resto,962140,2421606,39.73148398211765
2017-Q1,3. La Rioja,82588,204009,40.48252773161968
2017-Q2,1. Resto país,10325375,24854622,41.54307798364425
2017-Q2,2. NOA-Resto,986284,2426815,40.6410871862915
2017-Q2,3. La Rioja,83162,205012,40.564454763623594
2017-Q3,1. Resto país,10601883,24919273,42.544912927435725
2017-Q3,2. NOA-Resto,1009786,2433104,41.50196621270608
2017-Q3,3. La Rioja,81036,205762,39.38336524722738
2017-Q4,1. Resto país,10770028,24982973,43.109472999870754
2017-Q4,2. NOA-Resto,1038856,2438835,42.596403610740374
2017-Q4,3. La Rioja,83520,206692,40.40794999322664
2018-Q1,1. Resto país,10673806,25047647,42.61400681668821
2018-Q1,2. NOA-Resto,990260,2444581,40.508373418594026
2018-Q1,3. La Rioja,84827,207754,40.83050145845568
2018-Q2,1. Resto país,10570253,25109796,42.09613252134744
2018-Q2,2. NOA-Resto,988049,2450134,40.326325009162765
2018-Q2,3. La Rioja,84038,208533,40.299616847213635
2018-Q3,1. Resto país,10740005,25176061,42.65959238023772
2018-Q3,2. NOA-Resto,997946,2456164,40.630267359997134
2018-Q3,3. La Rioja,84073,209291,40.17038477526506
2018-Q4,1. Resto país,10671179,25241988,42.275509361623975
2018-Q4,2. NOA-Resto,1036052,2462008,42.081585437577786
2018-Q4,3. La Rioja,86166,210314,40.97016841484638
2019-Q1,1. Resto país,10856549,25566322,42.46425825349458
2019-Q1,2. NOA-Resto,998848,2477341,40.31935853804543
2019-Q1,3. La Rioja,91920,216968,42.36569448029203
2019-Q2,1. Resto país,10960443,25628706,42.76627544129617
2019-Q2,2. NOA-Resto,1022616,2483502,41.176371108217346
2019-Q2,3. La Rioja,90334,217984,41.44065619495009
2019-Q3,1. Resto país,10791628,25280566,42.68744615923551
2019-Q3,2. NOA-Resto,1054320,2489574,42.349413996129456
2019-Q3,3. La Rioja,87555,218988,39.981642829744096
2019-Q4,1. Resto país,11117149,25753971,43.1667372771368
2019-Q4,2. NOA-Resto,1035276,2494933,41.49514235452415
2019-Q4,3. La Rioja,87694,219814,39.89463819410957
2020-Q1,1. Resto país,10949428,25815742,42.41376443876763
2020-Q1,2. NOA-Resto,1006480,2500855,40.245436060867185
2020-Q1,3. La Rioja,89292,220733,40.452492377668946
2020-Q2,1. Resto país,8633114,25876437,33.36283894107987
2020-Q2,2. NOA-Resto,830510,2506680,33.13187163898064
2020-Q2,3. La Rioja,82456,221660,37.19931426509068
2020-Q3,1. Resto país,9625123,25771546,37.34786807124416
2020-Q3,2. NOA-Resto,947165,2512256,37.70177083864065
2020-Q3,3. La Rioja,85561,222686,38.42226273766649
2020-Q4,1. Resto país,10426627,25998271,40.10507852618353
2020-Q4,2. NOA-Resto,1008576,2517904,40.05617370638436
2020-Q4,3. La Rioja,88446,223489,39.57510213030619
2021-Q1,1. Resto país,10872248,26059100,41.721502277515334
2021-Q1,2. NOA-Resto,1020822,2523552,40.45179176018564
2021-Q1,3. La Rioja,88917,224486,39.6091515729266
2021-Q2,1. Resto país,10864752,26117974,41.59875494171179
2021-Q2,2. NOA-Resto,1018828,2529111,40.28403656462686
2021-Q2,3. La Rioja,97900,225354,43.44276116687523
2021-Q3,1. Resto país,11262708,26178493,43.022751538829986
2021-Q3,2. NOA-Resto,1040559,2534819,41.050623338392214
2021-Q3,3. La Rioja,100271,226249,44.318869917657096
2021-Q4,1. Resto país,11487443,26238762,43.780430646842255
2021-Q4,2. NOA-Resto,1058828,2540458,41.67862645239559
2021-Q4,3. La Rioja,97311,227148,42.84035078451054
2022-Q1,1. Resto país,11413362,26299032,43.39841101375899
2022-Q1,2. NOA-Resto,1071886,2546124,42.098735175505986
2022-Q1,3. La Rioja,98729,228059,43.290990489303205
2022-Q2,1. Resto país,11781170,26356827,44.69874162015026
2022-Q2,2. NOA-Resto,1111706,2551496,43.57075221752258
2022-Q2,3. La Rioja,100389,228889,43.85925055376187
2022-Q3,1. Resto país,11756854,26416766,44.50527365840315
2022-Q3,2. NOA-Resto,1064648,2557179,41.633690875765836
2022-Q3,3. La Rioja,100599,229865,43.764383442455355
2022-Q4,1. Resto país,11856402,26475909,44.78185054949388
2022-Q4,2. NOA-Resto,1102379,2562725,43.01589128759426
2022-Q4,3. La Rioja,102321,230687,44.35490513119508
2023-Q1,1. Resto país,11972989,26535131,45.1212733790536
2023-Q1,2. NOA-Resto,1117305,2568380,43.50232442239855
2023-Q1,3. La Rioja,101067,231644,43.63031203052961
2023-Q2,1. Resto país,11879184,26592646,44.670936468676345
2023-Q2,2. NOA-Resto,1125416,2573716,43.72727993298406
2023-Q2,3. La Rioja,103039,232491,44.31956505843237
2023-Q3,1. Resto país,12131650,26651235,45.520029371997204
2023-Q3,2. NOA-Resto,1157445,2579179,44.87648976670483
2023-Q3,3. La Rioja,107107,233405,45.88890555043808
2023-Q4,1. Resto país,12240853,26709576,45.82945457464394
2023-Q4,2. NOA-Resto,1170149,2584731,45.27159692826836
2023-Q4,3. La Rioja,106935,234303,45.63962049141496
2024-Q1,1. Resto país,11897954,26767867,44.44864433912497
2024-Q1,2. NOA-Resto,1113774,2590164,43.000134354426976
2024-Q1,3. La Rioja,102200,235183,43.4555218702032
2024-Q2,1. Resto país,12063271,26824832,44.97053700094003
2024-Q2,2. NOA-Resto,1133860,2595440,43.686619609777146
2024-Q2,3. La Rioja,100770,236070,42.686491294954884
2024-Q3,1. Resto país,12130693,26882224,45.12533263616879
2024-Q3,2. NOA-Resto,1133202,2600990,43.56810291465942
2024-Q3,3. La Rioja,104145,236931,43.95583524317207
2024-Q4,1. Resto país,12337339,26939516,45.79643895606736
2024-Q4,2. NOA-Resto,1150470,2606262,44.142530566765736
2024-Q4,3. La Rioja,108675,237795,45.70112912382515
2025-Q1,1. Resto país,12020815,26996713,44.52695778186033
2025-Q1,2. NOA-Resto,1133345,2611789,43.393436452944705
2025-Q1,3. La Rioja,104649,238676,43.84563173507181
2025-Q2,1. Resto país,12052904,27052274,44.554125098688566
2025-Q2,2. NOA-Resto,1148021,2617068,43.866685924859425
2025-Q2,3. La Rioja,103456,239527,43.191790487084965
2025-Q3,1. Resto país,12357677,27107723,45.587292595545556
2025-Q3,2. NOA-Resto,1142454,2622347,43.566087935730856
2025-Q3,3. La Rioja,106142,240386,44.15481766825023
2025-Q4,1. Resto país,12219741,27163889,44.985241251722094
2025-Q4,2. NOA-Resto,1169733,2627639,44.516503218288356
2025-Q4,3. La Rioja,113909,241217,47.22262527102153
