fecha,la_rioja_region,pob_NBI_TOT,pob_NBI_HAC,pob_NBI_VIV,pob_NBI_SAN,pob_NBI_ESC,pob_NBI_SUB,pob_base,pct_pob_NBI_TOT,pct_pob_NBI_HAC,pct_pob_NBI_VIV,pct_pob_NBI_SAN,pct_pob_NBI_ESC,pct_pob_NBI_SUB
2016-Q4,2. NOA-Resto,1124351,151605,9614,22882,1060150,31725,2415832,46.54094324439779,6.27547776501015,0.3979581361617861,0.9471685117177022,43.88343229164942,1.313212177005686
2016-Q4,3. La Rioja,97786,16034,97,0,95524,639,203138,48.1377191859721,7.893156376453446,0.04775079010327954,0,47.02419045181108,0.3145644832576869
2017-Q1,1. Resto país,9546923,1421294,89170,61056,9069716,236134,24790882,38.50981582664142,5.733132044273375,0.35968869522270325,0.24628409751617553,36.5848863303855,0.9525034244445195
2017-Q1,2. NOA-Resto,1117050,154177,6358,42043,1049243,23379,2421606,46.12847837344308,6.366725222847978,0.2625530329871994,1.7361618694370595,43.32839446218749,0.9654336832663942
2017-Q1,3. La Rioja,90316,17191,481,0,85009,1571,204009,44.27059590508262,8.426589023033298,0.23577391193525776,0,41.66924008254538,0.7700640658010186
2017-Q2,1. Resto país,9676189,1327383,74633,74459,9199397,231762,24854622,38.93114528154965,5.340588161026951,0.3002781534959574,0.29957808249910217,37.01282200147723,0.9324704274319682
2017-Q2,2. NOA-Resto,1099418,155735,10063,37703,1043855,32831,2426815,45.30291761011861,6.417258835139885,0.4146587193502595,1.5536000890055484,43.013373495713516,1.3528431297812151
2017-Q2,3. La Rioja,85599,12417,0,0,82033,108,205012,41.75316566835112,6.056718631104521,0,0,40.01375529237313,0.05267984313113379
2017-Q3,1. Resto país,9771099,1254211,60726,60610,9252738,233863,24919273,39.21101149299179,5.033096270505163,0.24369089740298605,0.24322539425608447,37.13085048668956,0.9384824348607601
2017-Q3,2. NOA-Resto,1056072,124863,17350,28316,1003679,18792,2433104,43.40430988564402,5.131839822712058,0.7130809040632871,1.1637809152424228,41.25096995442858,0.7723467636401897
2017-Q3,3. La Rioja,92084,11480,282,1122,89279,0,205762,44.7526754211176,5.579261476851896,0.13705154498887065,0.5452901896365704,43.38944994702618,0
2017-Q4,1. Resto país,9510139,1333269,49016,38240,8939317,176546,24982973,38.06648231977835,5.336710726941905,0.19619762627930631,0.15306424899870805,35.78163815811673,0.706665295599527
2017-Q4,2. NOA-Resto,1079258,118523,10987,14191,1021693,27849,2438835,44.25301424655624,4.8598203650513465,0.45050198147886183,0.5818761826855855,41.89266596551222,1.1418976683539477
2017-Q4,3. La Rioja,89649,10094,541,1106,83863,2466,206692,43.373231668376135,4.883594914171812,0.2617421090317961,0.5350956979467033,40.573897393222765,1.1930795579896658
2018-Q1,1. Resto país,9601671,1216597,65955,54601,9018888,217313,25047647,38.33362471133516,4.857130891376743,0.2633181472095962,0.21798854000138215,36.00692711774483,0.8675984614443025
2018-Q1,2. NOA-Resto,1085856,124263,6119,12237,1038831,13177,2444581,44.41890041688126,5.083202397466069,0.25030874411606735,0.5005765814264285,42.495257878548514,0.5390289787902303
2018-Q1,3. La Rioja,84056,11489,734,0,76940,1241,207754,40.45938947023884,5.530098096787547,0.3533024634904743,0,37.03418466070449,0.5973410860922052
2018-Q2,1. Resto país,9616215,1046291,68578,46848,9130972,203851,25109796,38.29666716527685,4.166863800884722,0.27311253345108816,0.18657260297933126,36.364182329478105,0.8118385350482338
2018-Q2,2. NOA-Resto,1083491,150963,14810,26234,993480,26921,2450134,44.221703792527265,6.161418110193156,0.6044567358356727,1.0707169485424062,40.54798635503201,1.0987562312918395
2018-Q2,3. La Rioja,91225,10884,380,0,87625,260,208533,43.74607376290563,5.219317805814907,0.18222535521955757,0,42.01972829240456,0.12468050620285519
2018-Q3,1. Resto país,9653968,1143982,104829,34625,9104352,267419,25176061,38.34582383638171,4.543927662075493,0.41638364317595195,0.1375314430641076,36.162734114760845,1.0621955515598727
2018-Q3,2. NOA-Resto,1117466,144290,22596,31215,1037105,29295,2456164,45.496391934740515,5.874607721634223,0.9199711419921472,1.2708841917722107,42.22458272330349,1.1927135158727187
2018-Q3,3. La Rioja,89480,9448,274,1500,86381,1950,209291,42.75386901491225,4.514288717622832,0.13091819524012022,0.7167054483948188,41.27315555852856,0.9317170829132643
2018-Q4,1. Resto país,9364619,1223261,57217,18575,8841415,233320,25241988,37.09937188782437,4.846135732256904,0.22667390539921023,0.07358770632487426,35.02661913950676,0.9243329011962133
2018-Q4,2. NOA-Resto,1090005,134004,20108,22028,1026694,20682,2462008,44.27300804871471,5.442874271732667,0.8167317084266176,0.8947168327641503,41.70148919093683,0.8400460112233591
2018-Q4,3. La Rioja,78356,9096,147,1750,74321,2143,210314,37.2566733550786,4.324961723898552,0.06989548960126288,0.8320891619197961,35.33811348745209,1.0189526137109275
2019-Q1,1. Resto país,9765483,1166382,84778,31865,9225879,213625,25566322,38.19666747528252,4.562181451051113,0.33160029823609355,0.12463662156801435,36.086062750832916,0.8355718902390418
2019-Q1,2. NOA-Resto,1152036,154674,8710,12617,1076793,30093,2477341,46.502923901069735,6.243549030997348,0.35158664067643497,0.509296055730721,43.46567549642944,1.2147298252440824
2019-Q1,3. La Rioja,90516,6373,142,156,89024,3210,216968,41.71859444710741,2.937299509605103,0.06544743925371484,0.07190000368717968,41.03093543748387,1.4794808451015817
2019-Q2,1. Resto país,9652266,1144298,91868,44466,9177395,239494,25628706,37.66193267814614,4.464907436216249,0.35845742660593166,0.17350076121673874,35.80904552886907,0.93447558374582
2019-Q2,2. NOA-Resto,1160549,178902,15195,17057,1083348,28789,2483502,46.73034287872528,7.203618116675566,0.6118376389469387,0.6868124124723878,43.62178890937072,1.1592098576928869
2019-Q2,3. La Rioja,103283,8772,0,144,101686,1748,217984,47.3810004403993,4.024148561362302,0,0.06605989430416911,46.64837786259542,0.80189371697005285
2019-Q3,1. Resto país,9731225,1263314,76057,68757,9154179,312603,25280566,38.4929079515071,4.997174509463119,0.30085165023599547,0.2719757144677853,36.21034038557523,1.2365348149246342
2019-Q3,2. NOA-Resto,1115106,153806,17137,20882,1062532,17958,2489574,44.791036538781334,6.178004751013627,0.6883506977498961,0.8387780399377565,42.67926962604847,0.721328227238877
2019-Q3,3. La Rioja,102611,6996,0,0,102107,0,218988,46.8569054012092,3.194695599758891,0,0,46.626755803970994,0
2019-Q4,1. Resto país,9681375,1272973,35996,34075,9286194,230018,25753971,37.59177565277215,4.942822215649773,0.1397687370231177,0.13230969313431315,36.05732879018929,0.893136052688729
2019-Q4,2. NOA-Resto,1146041,171624,5940,19548,1080187,20137,2494933,45.93474053211048,6.8789021588956505,0.2380825457036321,0.7835080140428621,43.2952307737322,0.807115862429973
2019-Q4,3. La Rioja,92601,6915,0,0,92253,1060,219814,42.12698008316122,3.145841484163884,0,0,41.96866441627922,0.4822258818819547
2020-Q1,1. Resto país,9731436,1179224,63136,30476,9240325,225027,25815742,37.695743937942986,4.567848563097663,0.24456395636429898,0.11805200098451557,35.79337367099501,0.8716658231245107
2020-Q1,2. NOA-Resto,1122856,167935,4824,13409,1070513,25948,2500855,44.89888458147313,6.715103434625358,0.19289403024165735,0.536176627593363,42.80588038890699,1.0375651527177705
2020-Q1,3. La Rioja,96544,12404,420,0,93058,1238,220733,43.73790960119239,5.61945880316944,0.19027512877548894,0,42.15862603235583,0.5608585938667984
2020-Q2,1. Resto país,10767375,1198916,49357,56126,10292784,193306,25876437,41.61073257496772,4.633234475055434,0.19074109777941994,0.2169000314842418,39.77666631615473,0.74703484100226
2020-Q2,2. NOA-Resto,1166796,152108,14215,8225,1127432,27337,2506680,46.54746517305759,6.068106020712656,0.5670847495492045,0.32812325466353903,44.97710118563199,1.090566007627619
2020-Q2,3. La Rioja,104682,7795,175,0,103507,580,221660,47.22638274835334,3.5166471172065323,0.078949742849409,0,46.696291617793015,0.261662004872327
2020-Q3,1. Resto país,10971622,909526,35293,26029,10549614,205658,25771546,42.572618654697706,3.5291868015989416,0.13694560660039565,0.10099898547025468,40.935122790072434,0.798004124393624
2020-Q3,2. NOA-Resto,1194729,154921,11702,3361,1137027,30857,2512256,47.55602136088042,6.166608816935853,0.46579647933968515,0.13378413664849442,45.25920129158812,1.228258585112345
2020-Q3,3. La Rioja,106242,7012,0,0,105832,166,222686,47.70933062698149,3.1488283951393443,0,0,47.52521487655264,0.07454442578339007
2020-Q4,1. Resto país,10748378,1547905,52244,32880,10256127,152052,25998271,41.34266467181606,5.9538767020314545,0.20095182483481303,0.1264699487131279,39.44926568386028,0.5848542774248334
2020-Q4,2. NOA-Resto,1151301,172287,5584,1034,1109509,27819,2517904,45.724578856064404,6.842476917309,0.22177175936810936,0.04106590243313486,44.06478563122343,1.10484752397232
2020-Q4,3. La Rioja,99962,8741,0,0,95622,2152,223489,44.72792844390552,3.9111544639780926,0,0,42.78599841602942,0.9629109262648273
2021-Q1,1. Resto país,11237350,1168970,51364,34173,10773909,181569,26059100,43.122556036087204,4.485841798066702,0.1971058094868971,0.13113653196004466,41.34413314350841,0.6967585219750491
2021-Q1,2. NOA-Resto,1152409,161613,7510,2469,1105431,29052,2523775,45.66211330249329,6.403621558974155,0.29757010827034897,0.09782964012243563,43.800695386870856,1.1511327277590118
2021-Q1,3. La Rioja,99999,10215,0,0,94859,970,224486,44.54576231925376,4.55039512486302,0,0,42.256087239293315,0.43209821547891625
2021-Q2,1. Resto país,11187774,914198,43221,32923,10758938,188182,26117974,42.835535405617605,3.5002638412918246,0.1654837392823808,0.12605495357335142,41.19361631955067,0.7205076473389552
2021-Q2,2. NOA-Resto,1155416,146215,7078,2135,1112193,29247,2529111,45.68466943522843,5.781280457836766,0.2798611844240921,0.08441701451616793,43.9756499418175,1.156414249908367
2021-Q2,3. La Rioja,101420,9132,0,0,98072,0,225354,45.00474808523479,4.052291062062356,0,0,43.51908552765871,0
2021-Q3,1. Resto país,11014650,1184581,73434,16993,10649789,113479,26178493,42.0751874448999,4.5250160121898535,0.2805127094214323,0.06491206350189829,40.6814441152132,0.4334817898035612
2021-Q3,2. NOA-Resto,1150918,141190,8371,3182,1108587,25910,2534819,45.40434642473487,5.570022948384086,0.3302405418296139,0.12553164545476422,43.73436525448168,1.022163712675343
2021-Q3,3. La Rioja,97088,5831,980,0,94088,0,226249,42.912012870775115,2.577248960216399,0.4331510857506552,0,41.58604015929352,0
2021-Q4,1. Resto país,10714449,1265779,44799,20879,10453373,140058,26238762,40.83443037442087,4.824080495870956,0.17073595164284047,0.07957311400591233,39.83942916209233,0.5337828057588997
2021-Q4,2. NOA-Resto,1156993,155107,10406,12576,1108276,22074,2540458,45.54269348282869,6.105473894864627,0.409611180346221,0.49502884912877915,43.62504713716975,0.8688984427217454
2021-Q4,3. La Rioja,101720,5578,1056,0,98773,133,227148,44.78137601915931,2.455667670417525,0.46489513444978603,0,43.48398401042492,0.05855213341081585
2022-Q1,1. Resto país,10914126,1235088,72513,35788,10581036,218228,26299032,41.50010540311902,4.696324944583512,0.27572497725391565,0.13608105423804193,40.23355688528764,0.8297948000519563
2022-Q1,2. NOA-Resto,1170617,165359,11548,9709,1113915,33231,2546124,45.976433198068904,6.494538364981437,0.45355214435746255,0.38132471160084896,43.749440325765754,1.3051603142659196
2022-Q1,3. La Rioja,101129,5316,346,0,99775,3994,228059,44.34334974721454,2.3309757562735958,0.1517151263488834,0,43.74964373254289,1.751301198374105
2022-Q2,1. Resto país,10959638,938454,90930,34563,10598085,172892,26356827,41.581780690065614,3.5605727502783244,0.3449960042610592,0.1311349048199163,40.21001845176584,0.6559666685219735
2022-Q2,2. NOA-Resto,1116909,118442,7716,2643,1064344,14838,2551496,43.77467180038691,4.642060971289,0.30241082094582944,0.10358628820111809,41.714507880866755,0.581541182114336
2022-Q2,3. La Rioja,105355,9939,475,1146,99293,0,228889,46.02886115103828,4.342279445495415,0.2075241711047713,0.5006793686022483,43.3804158347496,0
2022-Q3,1. Resto país,10839856,1075319,66605,37281,10528905,159006,26416766,41.03400090684832,4.070592895436179,0.25213154403532967,0.14112628320968587,39.85690375574361,0.6019131940677371
2022-Q3,2. NOA-Resto,1126929,103447,8448,14224,1087058,23942,2557179,44.06922628412012,4.045356230439872,0.3303640456925385,0.5562379481452021,42.51004720436074,0.9362660963507052
2022-Q3,3. La Rioja,108718,10087,852,957,102446,610,229865,47.29645661583973,4.3882278728819095,0.3706523394166141,0.41633132490809827,44.56789854914842,0.26537315380766974
2022-Q4,1. Resto país,10654051,1096826,49848,49772,10261806,159354,26475909,40.240548492593774,4.142732172104082,0.18827682177031202,0.1879897683588503,38.7590318428727,0.6018830175009289
2022-Q4,2. NOA-Resto,1171943,133650,9324,24565,1129352,17049,2562725,45.73034562818874,5.215151840326215,0.3638314684564282,0.95854998097728,44.068403749914644,0.6652684154562039
2022-Q4,3. La Rioja,103512,9888,1374,0,101334,127,230687,44.87118910038277,4.286327361316416,0.595612236493604,0,43.927052673102516,0.055052950534707205
2023-Q1,1. Resto país,10724346,1100825,44482,108589,10341484,121372,26535131,40.415651236091506,4.148556869758811,0.16763437120397107,0.40922729946198494,38.97280175477558,0.45740117130003993
2023-Q1,2. NOA-Resto,1139572,138054,11740,11502,1094930,26338,2568380,44.369291148506065,5.375139192798573,0.45709747000054507,0.4478309284451678,42.631152711047434,1.025471308762722
2023-Q1,3. La Rioja,107197,4796,404,0,104499,378,231644,46.27661411476231,2.070418400649272,0.17440555334910468,0,45.111895840168536,0.16318143357911277
2023-Q2,1. Resto país,11091405,1068208,108688,94158,10683712,182284,26592646,41.708542278944336,4.016930094132039,0.4087144994898213,0.35407533345873143,40.175437976348796,0.6854677041163937
2023-Q2,2. NOA-Resto,1131799,113931,9348,2478,1094175,17652,2573716,43.97528709461339,4.4267121935753595,0.3632102376485984,0.09628101935100843,42.51343194043166,0.6858565591541569
2023-Q2,3. La Rioja,102071,5658,97,1128,99440,1644,232491,43.903204855241704,2.433642592616488,0.04172204515443609,0.4851800714866382,42.77154814594974,0.7071241467411641
2023-Q3,1. Resto país,11134884,1114866,62029,29313,10809203,154478,26651235,41.779992559444246,4.183168247175037,0.23274343571695644,0.1099873983325726,40.55798164700435,0.5796279234339422
2023-Q3,2. NOA-Resto,1186553,109529,6648,15010,1144049,22501,2579179,46.00506595315797,4.246661437612512,0.25775644110005547,0.5819681379229592,44.35709968172043,0.8724093984946373
2023-Q3,3. La Rioja,99405,6911,208,1140,96098,143,233405,42.589061930978346,2.9609477089179754,0.08911548595788436,0.48842141342302003,41.172211392215246,0.0612668965960455
2023-Q4,1. Resto país,10941797,1080447,35248,43903,10672617,124921,26709576,40.96582064799531,4.045167171504333,0.1319676508530124,0.16437175940194632,39.958017304355565,0.46770117204406386
2023-Q4,2. NOA-Resto,1186495,133979,11553,13503,1135088,13433,2584731,45.90400316319184,5.183479441380941,0.4469710774544817,0.5224141312964482,43.9151308201898,0.5197059191072494
2023-Q4,3. La Rioja,105082,6572,198,0,102073,590,234303,44.84876420703107,2.804915003222323,0.08450596023098296,0,43.56452969018749,0.25181068957717145
2024-Q1,1. Resto país,10965448,1009552,34537,61633,10691977,119132,26767867,40.964967436516325,3.7715070834743765,0.12902410192041075,0.23024994856706366,39.943328319735,0.4450560068906499
2024-Q1,2. NOA-Resto,1196082,123529,12831,3468,1141826,16453,2590164,46.17784819802916,4.769157474198545,0.49537403809179653,0.13389113585085732,44.0831545801733,0.6352107434123863
2024-Q1,3. La Rioja,98796,6167,0,0,98578,218,235183,42.00813834333264,2.622213340249933,0,0,41.915444568697566,0.09269377463507142
2024-Q2,1. Resto país,10909957,973690,44572,40365,10584065,169447,26824832,40.67111026082102,3.62980838053338,0.16615947492234062,0.15047624529391274,39.45622101193402,0.6316796317680573
2024-Q2,2. NOA-Resto,1162413,102195,9300,4306,1132598,16439,2595440,44.78674136177296,3.937482661899331,0.3583207471565515,0.16590635884474308,43.63799586967913,0.6333800819899515
2024-Q2,3. La Rioja,99889,4139,0,0,99889,0,236070,42.31329690346084,1.7532935146354895,0,0,42.31329690346084,0
2024-Q3,1. Resto país,11144792,1108540,71998,74993,10879760,105810,26882224,41.45784961839467,4.1236915517109,0.2678275428402055,0.2789687341344972,40.47194904707289,0.3936058266607703
2024-Q3,2. NOA-Resto,1203297,122658,7207,5996,1158552,15599,2600990,46.26303830464554,4.715819745558422,0.2770868015640198,0.23052760679587386,44.54273180596619,0.5997331785204865
2024-Q3,3. La Rioja,100739,9200,214,0,97767,0,236931,42.51828591446455,3.8829870299791924,0.09032165482777686,0,41.263912278258225,0
2024-Q4,1. Resto país,11204408,1107552,28460,51554,10866491,131323,26939516,41.59097735831631,4.111254263068424,0.10564406576569527,0.1913694366298192,40.336622974221214,0.48747349432706955
2024-Q4,2. NOA-Resto,1201109,134316,11872,4521,1150409,28072,2606262,46.085504834126425,5.153587782041867,0.4555182863426624,0.17346682720309778,44.140190049964275,1.077098158205123
2024-Q4,3. La Rioja,102586,10614,200,0,99668,0,237795,43.14052019596711,4.463508484198575,0.08410605773880864,0,41.9134128135579,0
2025-Q1,1. Resto país,11214150,868804,26111,19575,10947080,150152,26996713,41.538945870928806,3.2181843767424576,0.09671918207227673,0.07250882727834311,40.549677288490635,0.5561862290420319
2025-Q1,2. NOA-Resto,1177734,114408,10704,4609,1123790,25608,2611789,45.092999472775176,4.380445740448406,0.4098340256429597,0.17646907924032149,43.027595261332365,0.9804773662803542
2025-Q1,3. La Rioja,101216,7259,0,0,100879,337,238676,42.4072801622283,3.041361511002363,0,0,42.26608456652533,0.14119559570296134
2025-Q2,1. Resto país,11158520,935725,19502,15320,10919309,136741,27052274,41.247992682611454,3.4589513620925176,0.07209005793745843,0.05663109873868644,40.36373799851354,0.505469521711927
2025-Q2,2. NOA-Resto,1181712,105430,7977,4240,1128046,36588,2617068,45.1540426156294,4.028554091831011,0.30480675320625983,0.16201336763125757,43.1034271940966,1.398053088418031
2025-Q2,3. La Rioja,99779,6017,199,0,99580,0,239527,41.656681710203856,2.5120341339389713,0.08308040429680162,0,41.57360130590706,0
2025-Q3,1. Resto país,11249307,1005453,16208,43025,11006204,124755,27107723,41.49853161772385,3.709101646051201,0.05979107872690007,0.15871860576412117,40.60172814957568,0.4602193994678196
2025-Q3,2. NOA-Resto,1184015,93956,6759,6707,1142763,32154,2622347,45.15096590954592,3.5828973053528,0.2577462097884071,0.25576325329942984,43.57787127332882,1.2261535182033498
2025-Q3,3. La Rioja,97614,10555,195,0,94848,0,240386,40.60719010258501,4.390854708676878,0.08111953275149135,0,39.45654073032539,0
2025-Q4,1. Resto país,11539929,899246,23301,53219,11250874,151398,27163889,42.48260990905978,3.3104464533778653,0.08577932268829401,0.19591819124279297,41.4184949732345,0.557350238031086
2025-Q4,2. NOA-Resto,1181161,111494,11868,5803,1150225,15739,2627639,44.95141836454703,4.243124721470491,0.45166021664315376,0.22084464418437996,43.774087688605626,0.5989787790484157
2025-Q4,3. La Rioja,102843,11642,0,0,99174,0,241217,42.63505474323949,4.826359667850939,0,0,41.11401766873811,0
